"Tabela 793 - População residente"
"Variável - População residente (Pessoas)"
"Nível","Cód.","Município","Ano"
"MU","2102556","Campestre do Maranhão (MA)","12246"
"MU","2102606","Cândido Mendes (MA)","18820"
"MU","2102705","Cantanhede (MA)","18827"
"MU","2102754","Capinzal do Norte (MA)","10385"
"MU","2102804","Carolina (MA)","24442"
"MU","2102903","Carutapera (MA)","20285"
"MU","2103000","Caxias (MA)","143197"
"MU","2103109","Cedral (MA)","9841"
"MU","2103125","Central do Maranhão (MA)","8776"
"MU","2103158","Centro do Guilherme (MA)","7094"
"MU","2103174","Centro Novo do Maranhão (MA)","15127"
"MU","2103208","Chapadinha (MA)","67649"
"MU","2103257","Cidelândia (MA)","12407"
"MU","2103307","Codó (MA)","110574"
"MU","2103406","Coelho Neto (MA)","44031"
"MU","2103505","Colinas (MA)","35692"
"MU","2103554","Conceição do Lago-Açu (MA)","14063"
"MU","2103604","Coroatá (MA)","60589"
"MU","2103703","Cururupu (MA)","34018"
"MU","2103752","Davinópolis (MA)","11786"
"MU","2103802","Dom Pedro (MA)","21479"
"MU","2103901","Duque Bacelar (MA)","10384"
"MU","2104008","Esperantinópolis (MA)","18569"
"MU","2104057","Estreito (MA)","26490"
"MU","2104073","Feira Nova do Maranhão (MA)","7648"
"MU","2104081","Fernando Falcão (MA)","8105"
"MU","2104099","Formosa da Serra Negra (MA)","16882"
"MU","2104107","Fortaleza dos Nogueiras (MA)","11578"
"MU","2104206","Fortuna (MA)","14486"
"MU","2104305","Godofredo Viana (MA)","10452"
"MU","2104404","Gonçalves Dias (MA)","16444"
"MU","2104503","Governador Archer (MA)","9920"
"MU","2104552","Governador Edison Lobão (MA)","14086"
"MU","2104602","Governador Eugênio Barros (MA)","15857"
"MU","2104628","Governador Luiz Rocha (MA)","6884"
"MU","2104651","Governador Newton Bello (MA)","11346"
"MU","2104677","Governador Nunes Freire (MA)","24012"
"MU","2104701","Graça Aranha (MA)","6254"
"MU","2104800","Grajaú (MA)","54135"
"MU","2104909","Guimarães (MA)","12387"
"MU","2105005","Humberto de Campos (MA)","24275"
"MU","2105104","Icatu (MA)","24432"
"MU","2105153","Igarapé do Meio (MA)","11697"
"MU","2105203","Igarapé Grande (MA)","10676"
"MU","2105302","Imperatriz (MA)","229671"
"MU","2105351","Itaipava do Grajaú (MA)","13197"
"MU","2105401","Itapecuru Mirim (MA)","54573"
"MU","2105427","Itinga do Maranhão (MA)","25100"
"MU","2105450","Jatobá (MA)","8255"
"MU","2105476","Jenipapo dos Vieiras (MA)","14815"
"MU","2105500","João Lisboa (MA)","19928"
"MU","2105609","Joselândia (MA)","15583"
"MU","2105658","Junco do Maranhão (MA)","4014"
"MU","2105708","Lago da Pedra (MA)","42666"
"MU","2105807","Lago do Junco (MA)","9616"
"MU","2105906","Lago Verde (MA)","14580"
"MU","2105922","Lagoa do Mato (MA)","10225"
"MU","2105948","Lago dos Rodrigues (MA)","7780"
"MU","2105963","Lagoa Grande do Maranhão (MA)","9015"
"MU","2105989","Lajeado Novo (MA)","6620"
"MU","2106003","Lima Campos (MA)","11365"
"MU","2106102","Loreto (MA)","10340"
"MU","2106201","Luís Domingues (MA)","6672"
"MU","2106300","Magalhães de Almeida (MA)","14217"
"MU","2106326","Maracaçumé (MA)","17537"
"MU","2106359","Marajá do Sena (MA)","6790"
"MU","2106375","Maranhãozinho (MA)","11887"
"MU","2106409","Mata Roma (MA)","13812"
"MU","2106508","Matinha (MA)","20422"
"MU","2106607","Matões (MA)","28278"
"MU","2106631","Matões do Norte (MA)","10576"
"MU","2106672","Milagres do Maranhão (MA)","7617"
"MU","2106706","Mirador (MA)","19445"
"MU","2106755","Miranda do Norte (MA)","17742"
"MU","2106805","Mirinzal (MA)","13786"
"MU","2106904","Monção (MA)","27558"
"MU","2107001","Montes Altos (MA)","8828"
